,Season,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Name
0,2010,24,SEA,AL,7.2,13,12,0.52,2.27,34,34,0,6,1,0,249.2,194,80,63,17,70,1,232,8,1,14,1001,174,3.04,1.057,7.0,0.6,2.5,8.4,3.31,CYA-1MVP-16,Felix Hernandez
0,2011,28,DET,AL,8.6,24,5,0.828,2.4,34,34,0,4,2,0,251.0,174,73,67,24,57,0,250,3,2,7,969,172,2.99,0.92,6.2,0.9,2.0,9.0,4.39,ASCYA-1MVP-1,Justin Verlander
0,2012,26,TBR,AL,6.6,20,5,0.8,2.56,31,31,0,2,1,0,211.0,173,63,60,16,59,2,205,5,1,8,836,150,3.05,1.1,7.4,0.7,2.5,8.7,3.47,ASCYA-1MVP-12,David Price
0,2013,28,DET,AL,6.5,21,3,0.875,2.9,32,32,0,0,0,0,214.1,152,73,69,18,56,0,240,4,1,6,836,144,2.74,0.97,6.4,0.8,2.4,10.1,4.29,ASCYA-1MVP-12,Max Scherzer
0,2014,28,CLE,AL,8.1,18,9,0.667,2.44,34,34,0,3,1,0,235.2,207,72,64,14,51,3,269,6,0,3,951,160,2.35,1.095,7.9,0.5,1.9,10.3,5.27,CYA-1MVP-11,Corey Kluber
0,2015,27,HOU,AL,6.5,20,8,0.714,2.48,33,33,0,3,2,0,232.0,185,68,64,17,51,0,216,2,0,9,911,157,2.91,1.017,7.2,0.7,2.0,8.4,4.24,ASCYA-1MVP-5GG,Dallas Keuchel
0,2016,27,BOS,AL,4.7,22,4,0.846,3.15,33,33,0,3,0,0,223.0,193,85,78,23,32,0,189,13,0,3,890,142,3.4,1.009,7.8,0.9,1.3,7.6,5.91,CYA-1,Rick Porcello
0,2017,31,CLE,AL,7.9,18,4,0.818,2.25,29,29,0,5,3,0,203.2,141,56,51,21,36,2,265,5,0,4,777,202,2.5,0.869,6.2,0.9,1.6,11.7,7.36,ASCYA-1MVP-7,Corey Kluber
0,2018,25,TBR,AL,7.1,21,5,0.808,1.89,31,31,0,0,0,0,180.2,112,41,38,16,64,2,221,1,0,13,700,217,2.94,0.974,5.6,0.8,3.2,11.0,3.45,ASCYA-1MVP-9,Blake Snell
0,2019,36,HOU,AL,7.4,21,6,0.778,2.58,34,34,0,2,1,0,223.0,137,66,64,36,42,0,300,6,0,4,847,179,3.27,0.803,5.5,1.5,1.7,12.1,7.14,ASCYA-1MVP-11,Justin Verlander
