Player,Season,League,pitch_type,num_pitches,total_pitches,AVG,Velocity
Felix Hernandez,2010,AL,FF,1269,3709,0.233,94.2
Felix Hernandez,2010,AL,SI,949,3709,0.232,93.6
Felix Hernandez,2010,AL,CH,517,3709,0.159,89.5
Felix Hernandez,2010,AL,SL,488,3709,0.163,85.2
Felix Hernandez,2010,AL,CU,377,3709,0.287,81.3
Felix Hernandez,2010,AL,FF,109,3709,0.143,94.4
Roy Halladay,2010,NL,FC,1496,3557,0.261,91.4
Roy Halladay,2010,NL,SI,1052,3557,0.288,92.6
Roy Halladay,2010,NL,CU,603,3557,0.192,78.1
Roy Halladay,2010,NL,CH,402,3557,0.144,84.1
Roy Halladay,2010,NL,FS,4,3557,0,86.1
Justin Verlander,2011,AL,FF,2215,3914,0.211,94.8
Justin Verlander,2011,AL,CU,708,3914,0.132,79.3
Justin Verlander,2011,AL,CH,636,3914,0.207,86.3
Justin Verlander,2011,AL,SL,344,3914,0.195,85.7
Justin Verlander,2011,AL,SI,11,3914,1,95.4
Clayton Kershaw,2011,NL,FF,2255,3454,0.268,93.3
Clayton Kershaw,2011,NL,SL,895,3454,0.116,83.7
Clayton Kershaw,2011,NL,CU,184,3454,0.163,73.9
Clayton Kershaw,2011,NL,CH,120,3454,0.063,82.5
David Price,2012,AL,SI,1253,3314,0.23,95.3
David Price,2012,AL,FF,759,3314,0.269,95.7
David Price,2012,AL,FC,534,3314,0.213,89.2
David Price,2012,AL,CH,395,3314,0.23,84.3
David Price,2012,AL,KC,371,3314,0.146,79
David Price,2012,AL,CU,2,3314,0,78.7
R.A. Dickey,2012,NL,KN,2844,3345,0.212,77.2
R.A. Dickey,2012,NL,FF,451,3345,0.294,83.4
R.A. Dickey,2012,NL,EP,50,3345,0.35,64.1
Max Scherzer,2013,AL,FF,1899,3387,0.204,93.2
Max Scherzer,2013,AL,CH,682,3387,0.237,84.6
Max Scherzer,2013,AL,SL,559,3387,0.124,84.9
Max Scherzer,2013,AL,CU,247,3387,0.229,77.6
Clayton Kershaw,2013,NL,FF,2076,3424,0.223,92.6
Clayton Kershaw,2013,NL,SL,839,3424,0.197,85
Clayton Kershaw,2013,NL,CU,428,3424,0.096,73.7
Clayton Kershaw,2013,NL,CH,81,3424,0.268,85.3
Corey Kluber,2014,AL,SI,1732,3488,0.317,93.1
Corey Kluber,2014,AL,SL,975,3488,0.24,88.7
Corey Kluber,2014,AL,CU,553,3488,0.094,82.5
Corey Kluber,2014,AL,CH,133,3488,0.208,84.8
Corey Kluber,2014,AL,FF,95,3488,0.129,93.7
Clayton Kershaw,2014,NL,FF,1451,2620,0.251,93
Clayton Kershaw,2014,NL,SL,765,2620,0.155,87.5
Clayton Kershaw,2014,NL,CU,376,2620,0.119,74
Clayton Kershaw,2014,NL,CH,28,2620,0.3,88.3
Dallas Keuchel,2015,AL,SI,1754,3486,0.24,89.4
Dallas Keuchel,2015,AL,SL,676,3486,0.117,79.3
Dallas Keuchel,2015,AL,CH,473,3486,0.2,79
Dallas Keuchel,2015,AL,FF,398,3486,0.326,88.9
Dallas Keuchel,2015,AL,FC,185,3486,0.225,84.8
Jake Arrieta,2015,NL,SI,1135,3427,0.19,94.7
Jake Arrieta,2015,NL,SL,989,3427,0.183,90.2
Jake Arrieta,2015,NL,FF,618,3427,0.284,94.4
Jake Arrieta,2015,NL,CU,526,3427,0.121,80.7
Jake Arrieta,2015,NL,CH,159,3427,0.121,88.9
Rick Porcello,2016,AL,SI,1288,3394,0.283,89.5
Rick Porcello,2016,AL,FF,752,3394,0.2,91.6
Rick Porcello,2016,AL,CU,467,3394,0.218,73.7
Rick Porcello,2016,AL,CH,454,3394,0.188,80.8
Rick Porcello,2016,AL,SL,433,3394,0.192,84.9
Max Scherzer,2016,NL,FF,1936,3354,0.218,94.3
Max Scherzer,2016,NL,SL,811,3354,0.162,86.2
Max Scherzer,2016,NL,CH,427,3354,0.207,85.2
Max Scherzer,2016,NL,CU,288,3354,0.195,77.9
Max Scherzer,2016,NL,FC,59,3354,0.077,89.4
Max Scherzer,2016,NL,SI,33,3354,0.222,94.7
Corey Kluber,2017,AL,SI,1005,3076,0.303,92
Corey Kluber,2017,AL,FC,905,3076,0.263,88.5
Corey Kluber,2017,AL,CU,691,3076,0.104,83.8
Corey Kluber,2017,AL,FF,273,3076,0.149,92
Corey Kluber,2017,AL,CH,202,3076,0.222,85.2
Max Scherzer,2017,NL,FF,1414,3092,0.237,94
Max Scherzer,2017,NL,SL,656,3092,0.129,85.4
Max Scherzer,2017,NL,CH,441,3092,0.11,84.6
Max Scherzer,2017,NL,CU,255,3092,0.2,77.4
Max Scherzer,2017,NL,FC,237,3092,0.111,87.9
Max Scherzer,2017,NL,SI,89,3092,0.235,93.5
Blake Snell,2018,AL,FF,1500,2913,0.222,95.8
Blake Snell,2018,AL,CU,588,2913,0.125,81.3
Blake Snell,2018,AL,CH,559,2913,0.195,87.5
Blake Snell,2018,AL,SL,266,2913,0.096,88
Jacob deGrom,2018,NL,FF,1374,3210,0.202,96
Jacob deGrom,2018,NL,SL,770,3210,0.187,91.1
Jacob deGrom,2018,NL,CH,516,3210,0.137,89
Jacob deGrom,2018,NL,SI,295,3210,0.256,95.5
Jacob deGrom,2018,NL,CU,255,3210,0.244,82.7
Justin Verlander,2019,AL,FF,1617,3242,0.229,94.6
Justin Verlander,2019,AL,SL,929,3242,0.118,87.5
Justin Verlander,2019,AL,CU,560,3242,0.188,79.4
Justin Verlander,2019,AL,CH,136,3242,0.108,56.9
Jacob deGrom,2019,NL,FF,1536,3191,0.219,96.9
Jacob deGrom,2019,NL,SL,1022,3191,0.186,92.5
Jacob deGrom,2019,NL,CH,506,3191,0.185,90.3
Jacob deGrom,2019,NL,CU,93,3191,0.348,84.3
Jacob deGrom,2019,NL,SI,34,3191,0.2,96.7
