Name,playerID,yearID,VotePoints
Justin Verlander,verlaju01,2019,171
Jacob deGrom,degroja01,2019,207
Blake Snell,snellbl01,2018,169
Jacob deGrom,degroja01,2018,207
Corey Kluber,klubeco01,2017,204
Max Scherzer,scherma01,2017,201
Rick Porcello,porceri01,2016,137
Max Scherzer,scherma01,2016,192
Dallas Keuchel,keuchda01,2015,186
Jake Arrieta,arrieja01,2015,169
Corey Kluber,klubeco01,2014,169
Clayton Kershaw,kershcl01,2014,210
Max Scherzer,scherma01,2013,203
Clayton Kershaw,kershcl01,2013,207
David Price,priceda01,2012,153
R.A. Dickey,dickera01,2012,209
Justin Verlander,verlaju01,2011,196
Clayton Kershaw,kershcl01,2011,207
Felix Hernandez,hernafe02,2010,167
Roy Halladay,hallaro01,2010,224
