,Season,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Name
0,2010,33,PHI,NL,8.5,21,10,0.677,2.44,33,33,0,9,4,0,250.2,231,74,68,24,30,1,219,6,1,5,993,167,3.01,1.041,8.3,0.9,1.1,7.9,7.3,ASCYA-1MVP-6,Roy Halladay
0,2011,23,LAD,NL,6.8,21,5,0.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,161,2.47,0.977,6.7,0.6,2.1,9.6,4.59,ASCYA-1MVP-12GG,Clayton Kershaw
0,2012,37,NYM,NL,5.7,20,6,0.769,2.73,34,33,1,5,3,0,233.2,192,78,71,24,54,2,230,9,1,4,927,139,3.27,1.053,7.4,0.9,2.1,8.9,4.26,ASCYA-1MVP-14,R.A Dickey
0,2013,25,LAD,NL,8.1,16,9,0.64,1.83,33,33,0,3,2,0,236.0,164,55,48,11,52,2,232,3,2,12,908,194,2.39,0.915,6.3,0.4,2.0,8.8,4.46,ASCYA-1MVP-7,Clayton Kershaw
0,2014,26,LAD,NL,7.7,21,3,0.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,197,1.81,0.857,6.3,0.4,1.4,10.8,7.71,ASCYA-1MVP-1,Clayton Kershaw
0,2015,29,CHC,NL,8.3,22,6,0.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,215,2.35,0.865,5.9,0.4,1.9,9.3,4.92,CYA-1MVP-6,Jake Arrieta
0,2016,31,WSN,NL,6.2,20,7,0.741,2.96,34,34,0,1,0,0,228.1,165,77,75,31,56,2,284,6,1,2,902,144,3.24,0.968,6.5,1.2,2.2,11.2,5.07,ASCYA-1MVP-10,Max Scherzer
0,2017,32,WSN,NL,7.2,16,6,0.727,2.51,31,31,0,2,0,0,200.2,126,62,56,22,55,2,268,11,0,4,780,178,2.9,0.902,5.7,1.0,2.5,12.0,4.87,ASCYA-1MVP-10,Max Scherzer
0,2018,30,NYM,NL,9.5,10,9,0.526,1.7,32,32,0,1,0,0,217.0,152,48,41,10,46,3,269,5,0,2,835,218,1.98,0.912,6.3,0.4,1.9,11.2,5.85,ASCYA-1MVP-5,Jacob deGrom
0,2019,31,NYM,NL,7.2,11,8,0.579,2.43,32,32,0,0,0,0,204.0,154,59,55,19,44,1,255,7,0,2,804,169,2.67,0.971,6.8,0.8,1.9,11.3,5.8,ASCYA-1MVP-10,Jacob deGrom
